date,hour,day_of_week,weather,accidents,severity,location,source
2024-01-05,08:30,Friday,Clear,12,Medium,Besiktas,IPA
2024-01-05,17:45,Friday,Clear,18,High,Kadikoy,DailySabah
2024-01-12,09:15,Friday,Rain,15,High,Sisli,Xinhua
2024-01-15,16:30,Monday,Clear,22,Medium,Taksim,IPA
2024-01-20,07:45,Saturday,Fog,8,Low,Uskudar,DailySabah
2024-01-25,18:00,Thursday,Clear,19,High,Levent,Xinhua
2024-02-03,08:00,Saturday,Clear,11,Medium,Mecidiyekoy,IPA
2024-02-10,16:15,Saturday,Rain,14,High,Bakirkoy,DailySabah
2024-02-14,12:30,Wednesday,Clear,9,Low,Beyoglu,Xinhua
2024-02-20,17:30,Tuesday,Clear,16,Medium,Maltepe,IPA
2024-02-25,09:00,Sunday,Fog,7,Medium,Kartal,DailySabah
2024-03-01,08:15,Friday,Clear,13,Medium,Pendik,Xinhua
2024-03-08,16:45,Friday,Clear,20,High,Avcilar,IPA
2024-03-15,17:00,Friday,Rain,17,High,Bahcelievler,DailySabah
2024-03-22,07:30,Friday,Clear,14,Medium,Eyup,Xinhua
2024-03-28,18:15,Thursday,Clear,18,High,Zeytinburnu,IPA
2024-04-05,08:45,Friday,Clear,15,Medium,Fatih,DailySabah
2024-04-12,16:30,Friday,Rain,19,High,Eminonu,Xinhua
2024-04-18,09:00,Thursday,Clear,16,Medium,Sariyer,IPA
2024-04-25,17:45,Thursday,Clear,21,High,Bebek,DailySabah
2024-05-02,08:00,Thursday,Clear,17,Medium,Ortakoy,Xinhua
2024-05-10,16:00,Friday,Clear,23,High,Etiler,IPA
2024-05-17,17:30,Friday,Rain,18,High,Nisantasi,DailySabah
2024-05-24,09:15,Friday,Clear,19,Medium,Osmanbey,Xinhua
2024-05-30,18:00,Thursday,Clear,22,High,Gayrettepe,IPA
2024-06-07,08:30,Friday,Clear,20,High,Maslak,DailySabah
2024-06-14,16:45,Friday,Clear,24,High,Sanayi,Xinhua
2024-06-20,17:00,Thursday,Rain,19,High,Ikitelli,IPA
2024-06-28,09:00,Friday,Clear,21,Medium,Basaksehir,DailySabah
2024-07-05,08:15,Friday,Clear,25,High,Esenyurt,Xinhua
2024-07-12,16:30,Friday,Clear,28,High,Beylikduzu,IPA
2024-07-19,17:45,Friday,Clear,26,High,Atakoy,DailySabah
2024-07-26,18:00,Friday,Clear,27,High,Yesilkoy,Xinhua
2024-08-02,08:00,Friday,Clear,24,High,Florya,IPA
2024-08-09,16:15,Friday,Rain,20,High,Kucukcekmece,DailySabah
2024-08-16,09:30,Friday,Clear,23,Medium,Bagcilar,Xinhua
2024-08-23,17:30,Friday,Clear,25,High,Gunesli,IPA
2024-08-30,18:15,Friday,Clear,22,High,Merter,DailySabah
2024-09-06,08:45,Friday,Rain,35,Critical,Besiktas,Xinhua
2024-09-10,16:30,Tuesday,Rain,38,Critical,Kadikoy,IPA
2024-09-13,17:00,Friday,Fog,32,Critical,Sisli,DailySabah
2024-09-17,09:00,Tuesday,Rain,36,Critical,Taksim,Xinhua
2024-09-20,18:00,Friday,Clear,40,Critical,Uskudar,IPA
2024-09-24,08:15,Tuesday,Rain,34,Critical,Levent,DailySabah
2024-09-27,16:45,Friday,Fog,37,Critical,Mecidiyekoy,Xinhua
2024-10-04,09:30,Friday,Clear,19,Medium,Bakirkoy,IPA
2024-10-11,17:30,Friday,Rain,21,High,Beyoglu,DailySabah
2024-10-18,08:00,Friday,Clear,18,Medium,Maltepe,Xinhua
2024-10-25,16:00,Friday,Clear,20,High,Kartal,IPA
2024-11-01,17:45,Friday,Fog,17,Medium,Pendik,DailySabah
2024-11-08,08:30,Friday,Rain,19,High,Avcilar,Xinhua
2024-11-15,16:30,Friday,Clear,18,Medium,Bahcelievler,IPA
2024-11-22,09:00,Friday,Clear,16,Medium,Eyup,DailySabah
2024-11-29,17:00,Friday,Snow,15,High,Zeytinburnu,Xinhua
2024-12-06,08:15,Friday,Snow,14,High,Fatih,IPA
2024-12-13,16:45,Friday,Clear,17,Medium,Eminonu,DailySabah
2024-12-20,17:30,Friday,Snow,16,High,Sariyer,Xinhua
2024-12-27,09:30,Friday,Clear,15,Medium,Bebek,IPA
